Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"julgeler.ru","A","A","",43.135.174.163,"2025-11-13","2026-08-13","272d"
"julgeler.ru","A","B",33,43.135.174.163,"2025-11-11, 22:42","2026-07-19, 07:04","249d 7h 22m"
"julgeler.ru","A","D",3719,43.135.174.163,"2025-11-11, 13:58","2026-08-15, 10:01","276d 19h 3m"
"mass.gov-cincessn.top","A","C",1,43.135.174.163,"2025-02-23, 02:25","2025-02-23, 02:25","1s"
"com-hoos.top","A","A","",43.135.174.163,"2025-01-25","2025-01-26","1d"
"com-custosascnz.top","A","A","",43.135.174.163,"2025-01-25","2025-01-26","1d"
"com-saca.top","A","D",8,43.135.174.163,"2025-01-24, 03:04","2025-01-26, 03:29","2d 25m 43s"
"com-thetollaezcs.top","A","A","",43.135.174.163,"2025-01-23","2025-01-27","3d"
"com-hoos.top","A","D",12,43.135.174.163,"2025-01-23, 01:32","2025-01-26, 07:40","3d 6h 8m"
"com-saca.top","A","B",4,43.135.174.163,"2025-01-22, 22:37","2025-01-27, 03:39","4d 5h 2m"
"ezdrivema.com-hoos.top","A","D",10,43.135.174.163,"2025-01-22, 12:42","2025-01-22, 17:40","4h 57m 37s"
"ezdrivema.com-hoos.top","A","B",2,43.135.174.163,"2025-01-22, 12:36","2025-01-23, 13:45","1d 1h 9m"
"com-hoos.top","A","B",4,43.135.174.163,"2025-01-22, 12:22","2025-01-26, 07:47","3d 19h 25m"
"thetolirooads.top","A","A","",43.135.174.163,"2025-01-21","2025-01-29","7d"
"ezdrivema.com-hoos.top","A","A","",43.135.174.163,"2025-01-21","2025-01-27","5d"
"usps.com-trcnacassc.top","A","A","",43.135.174.163,"2025-01-20","2025-02-01","11d"
"usps.com-traaus.top","A","A","",43.135.174.163,"2025-01-18","2025-02-05","17d"
"gov-cincessn.top","A","D",62,43.135.174.163,"2025-01-18, 03:11","2025-04-23, 10:43","95d 6h 32m"
"gov-cincessn.top","A","C",1,43.135.174.163,"2025-01-17, 21:07","2025-01-17, 21:07","1s"
"mass.gov-cincessn.top","A","B",3,43.135.174.163,"2025-01-17, 19:45","2025-03-25, 06:24","66d 9h 38m"
"mass.com-custosascnz.top","A","B",1,43.135.174.163,"2025-01-17, 19:06","2025-01-17, 19:06","1s"
"mass.gov-cincessn.top","A","A","",43.135.174.163,"2025-01-17","2025-05-15","117d"
"com-custosascsz.top","A","A","",43.135.174.163,"2025-01-17","2025-02-05","18d"
"mass.com-custosascnz.top","A","A","",43.135.174.163,"2025-01-17","2025-01-18","1d"
"gov-cincessn.top","A","A","",43.135.174.163,"2025-01-17","2025-05-16","118d"
"thetolirooads.top","A","B",10,43.135.174.163,"2025-01-17, 13:54","2025-01-28, 21:12","11d 7h 18m"
"thetolirooads.top","A","D",11,43.135.174.163,"2025-01-17, 13:53","2025-01-28, 21:06","11d 7h 12m"
"mass.gov-cincessn.top","A","D",8,43.135.174.163,"2025-01-17, 10:43","2025-05-02, 03:44","104d 16h 1m"
"gov-cincessn.top","A","B",64,43.135.174.163,"2025-01-17, 10:39","2025-05-15, 10:48","117d 23h 8m"
"com-custosaczvzc.top","A","A","",43.135.174.163,"2025-01-16","2025-01-22","5d"
"usps.com-trscacaus.top","A","C",1,43.135.174.163,"2025-01-15, 01:13","2025-01-15, 01:13","1s"
"com-custosascsz.top","A","D",31,43.135.174.163,"2025-01-15, 00:19","2025-02-05, 01:59","21d 1h 39m"
"com-custosascsa.top","A","A","",43.135.174.163,"2025-01-14","2025-01-23","8d"
"com-trcnacaasc.top","A","A","",43.135.174.163,"2025-01-14","2025-02-02","18d"
"com-trcnasnnxg.top","A","A","",43.135.174.163,"2025-01-14","2025-01-28","13d"
"ezdrivema.com-thetollzczcs.top","A","A","",43.135.174.163,"2025-01-14","2025-01-24","9d"
"com-trcnacassc.top","A","A","",43.135.174.163,"2025-01-14","2025-02-04","20d"
"ezdrivema.com-custosascsa.top","A","D",8,43.135.174.163,"2025-01-14, 09:39","2025-01-16, 19:35","2d 9h 56m"
"com-custosascaz.top","A","D",3,43.135.174.163,"2025-01-14, 04:03","2025-01-14, 06:38","2h 35m 39s"
"com-custosasccz.top","A","D",2,43.135.174.163,"2025-01-14, 04:03","2025-01-14, 04:03","1s"
"ezdrivema.com-customasder.top","A","C",1,43.135.174.163,"2025-01-14, 02:16","2025-01-14, 02:16","1s"
"com-custosascsa.top","A","D",17,43.135.174.163,"2025-01-14, 01:20","2025-01-24, 23:25","10d 22h 4m"
"com-custosasmz.top","A","B",1,43.135.174.163,"2025-01-14, 00:46","2025-01-14, 00:46","1s"
"com-custosascaz.top","A","B",1,43.135.174.163,"2025-01-14, 00:46","2025-01-14, 00:46","1s"
"com-custosasccz.top","A","B",1,43.135.174.163,"2025-01-14, 00:46","2025-01-14, 00:46","1s"
"com-custosascsz.top","A","B",17,43.135.174.163,"2025-01-14, 00:46","2025-02-04, 06:51","21d 6h 5m"
"com-custosascnz.top","A","B",9,43.135.174.163,"2025-01-13, 21:39","2025-01-26, 00:02","12d 2h 23m"
"com-custosascnz.top","A","D",14,43.135.174.163,"2025-01-13, 21:33","2025-01-26, 15:04","12d 17h 30m"
"com-custosasccz.top","A","A","",43.135.174.163,"2025-01-13","2025-01-14","1d"
"ezdrivema.com-custosascs.top","A","A","",43.135.174.163,"2025-01-13","2025-01-26","12d"
"ezdrivema.com-custosascsa.top","A","A","",43.135.174.163,"2025-01-13","2025-01-23","9d"
"com-trcnaxasvn.top","A","A","",43.135.174.163,"2025-01-13","2025-01-29","15d"
"ezdrivema.com-custosascsa.top","A","B",2,43.135.174.163,"2025-01-13, 08:16","2025-01-14, 09:46","1d 1h 29m"
"ezdrivema.com-custosascs.top","A","D",18,43.135.174.163,"2025-01-13, 08:14","2025-01-14, 14:50","1d 6h 35m"
"com-custosascsa.top","A","B",9,43.135.174.163,"2025-01-13, 08:12","2025-01-25, 15:37","12d 7h 25m"
"com-custosascs.top","A","D",30,43.135.174.163,"2025-01-13, 08:11","2025-01-26, 06:14","12d 22h 3m"
"com-custosascs.top","A","B",10,43.135.174.163,"2025-01-13, 08:11","2025-01-26, 15:33","13d 7h 21m"
"ezdrivema.com-custosascs.top","A","B",2,43.135.174.163,"2025-01-13, 08:11","2025-01-14, 10:34","1d 2h 22m"
"ezdrivema.com-trcnaxasvn.top","A","D",3,43.135.174.163,"2025-01-13, 07:35","2025-01-13, 07:35","1s"
