Query,Type,Source,Count,Response,First Seen,Last Seen,Duration
"*.com-lost.support","A","B",27,104.21.78.184,"2024-10-01, 12:33","2025-10-13, 09:03","1y 11d 20h"
"*.com-lost.support","A","B",27,172.67.168.85,"2024-10-01, 12:33","2025-10-13, 09:03","1y 11d 20h"
"*.com-lost.support","A","D",18,104.21.78.184,"2024-11-29, 11:29","2025-09-02, 08:41","276d 20h 11m"
"*.com-lost.support","A","D",18,172.67.168.85,"2024-11-29, 11:29","2025-09-02, 08:41","276d 20h 11m"
"0254f899-f01f-47bd-a04d-a8d856fbdecf.random.com-lost.support","A","A","",172.67.168.85,"2025-03-07","2025-03-08","1d"
"0254f899-f01f-47bd-a04d-a8d856fbdecf.random.com-lost.support","A","A","",104.21.78.184,"2025-03-07","2025-03-08","1d"
"03b7904b-1b48-4e21-b4c6-b54c69f2ef8c.random.com-lost.support","A","A","",104.21.78.184,"2025-04-24","2025-04-25","1d"
"03b7904b-1b48-4e21-b4c6-b54c69f2ef8c.random.com-lost.support","A","A","",172.67.168.85,"2025-04-24","2025-04-25","1d"
"054b1a90-9146-4481-9633-3b80824d3ca2.random.com-lost.support","A","A","",172.67.168.85,"2025-03-30","2025-03-31","1d"
"054b1a90-9146-4481-9633-3b80824d3ca2.random.com-lost.support","A","A","",104.21.78.184,"2025-03-30","2025-03-31","1d"
"07148aa7-4fe9-4101-b148-f7c4e90cd512.random.com-lost.support","A","A","",104.21.78.184,"2025-01-06","2025-01-07","1d"
"07148aa7-4fe9-4101-b148-f7c4e90cd512.random.com-lost.support","A","A","",172.67.168.85,"2025-01-06","2025-01-07","1d"
"0968fc75-51ba-41fa-9a01-f9f906781239.random.com-lost.support","A","A","",104.21.78.184,"2024-11-08","2024-11-09","1d"
"0968fc75-51ba-41fa-9a01-f9f906781239.random.com-lost.support","A","A","",172.67.168.85,"2024-11-08","2024-11-09","1d"
"0a7ef9bb-c8fe-4af8-be34-55076cf3c300.random.com-lost.support","A","A","",104.21.78.184,"2025-01-18","2025-01-19","1d"
"0a7ef9bb-c8fe-4af8-be34-55076cf3c300.random.com-lost.support","A","A","",172.67.168.85,"2025-01-18","2025-01-19","1d"
"0f260069-3834-4e5b-9eb9-17b11ba3b762.random.com-lost.support","A","A","",104.21.78.184,"2025-05-16","2025-05-17","1d"
"0f260069-3834-4e5b-9eb9-17b11ba3b762.random.com-lost.support","A","A","",172.67.168.85,"2025-05-16","2025-05-17","1d"
"122a8e75-6cb4-43c7-beca-0da11e70ca96.random.com-lost.support","A","A","",172.67.168.85,"2025-05-05","2025-05-06","1d"
"122a8e75-6cb4-43c7-beca-0da11e70ca96.random.com-lost.support","A","A","",104.21.78.184,"2025-05-05","2025-05-06","1d"
"15c759a7-4dac-410d-af4e-55b52b051025.random.com-lost.support","A","A","",172.67.168.85,"2024-10-14","2024-10-15","1d"
"15c759a7-4dac-410d-af4e-55b52b051025.random.com-lost.support","A","A","",104.21.78.184,"2024-10-14","2024-10-15","1d"
"161a227b-af2f-4a8e-bf9e-908be6f55fcd.random.com-lost.support","A","A","",172.67.168.85,"2024-10-05","2024-10-06","1d"
"161a227b-af2f-4a8e-bf9e-908be6f55fcd.random.com-lost.support","A","A","",104.21.78.184,"2024-10-05","2024-10-06","1d"
"1b49cfb1-32ea-4bb3-aa93-8a053d4eaff0.random.com-lost.support","A","A","",172.67.168.85,"2025-03-06","2025-03-07","1d"
"1b49cfb1-32ea-4bb3-aa93-8a053d4eaff0.random.com-lost.support","A","A","",104.21.78.184,"2025-03-06","2025-03-07","1d"
"25624b23-b0bd-4b1d-abb7-d0740cb5a3ce.random.com-lost.support","A","A","",104.21.78.184,"2024-12-02","2024-12-03","1d"
"25624b23-b0bd-4b1d-abb7-d0740cb5a3ce.random.com-lost.support","A","A","",172.67.168.85,"2024-12-02","2024-12-03","1d"
"2581ab6d-e145-477f-aa19-e80d1a1bef00.random.com-lost.support","A","A","",172.67.168.85,"2025-02-28","2025-03-01","1d"
"2581ab6d-e145-477f-aa19-e80d1a1bef00.random.com-lost.support","A","A","",104.21.78.184,"2025-02-28","2025-03-01","1d"
"261ae7f9-44af-4e91-ba9b-f80942698ae2.random.com-lost.support","A","A","",104.21.78.184,"2025-04-27","2025-04-28","1d"
"261ae7f9-44af-4e91-ba9b-f80942698ae2.random.com-lost.support","A","A","",172.67.168.85,"2025-04-27","2025-04-28","1d"
"2e1d7b86-fb5e-4334-bdfd-4454719ea385.random.com-lost.support","A","A","",172.67.168.85,"2025-01-28","2025-01-29","1d"
"2e1d7b86-fb5e-4334-bdfd-4454719ea385.random.com-lost.support","A","A","",104.21.78.184,"2025-01-28","2025-01-29","1d"
"2ffbabe6-2b89-4a73-8a9a-e2d2625d09d7.random.com-lost.support","A","A","",172.67.168.85,"2024-10-27","2024-10-28","1d"
"2ffbabe6-2b89-4a73-8a9a-e2d2625d09d7.random.com-lost.support","A","A","",104.21.78.184,"2024-10-27","2024-10-28","1d"
"3599f299-1d4d-4bad-ac82-92357e2da324.random.com-lost.support","A","A","",172.67.168.85,"2025-03-25","2025-03-26","1d"
"3599f299-1d4d-4bad-ac82-92357e2da324.random.com-lost.support","A","A","",104.21.78.184,"2025-03-25","2025-03-26","1d"
"365ae130-1a4e-4ffc-b6af-9a6beb91825f.random.com-lost.support","A","A","",104.21.78.184,"2024-11-12","2024-11-13","1d"
"365ae130-1a4e-4ffc-b6af-9a6beb91825f.random.com-lost.support","A","A","",172.67.168.85,"2024-11-12","2024-11-13","1d"
"37547b16-aad1-466c-bf19-dd9cfa85d686.random.com-lost.support","A","A","",172.67.168.85,"2024-11-11","2024-11-12","1d"
"37547b16-aad1-466c-bf19-dd9cfa85d686.random.com-lost.support","A","A","",104.21.78.184,"2024-11-11","2024-11-12","1d"
"3cac667f-bdf6-4e25-8f90-8b96ca56dba7.random.com-lost.support","A","A","",104.21.78.184,"2025-04-23","2025-04-24","1d"
"3cac667f-bdf6-4e25-8f90-8b96ca56dba7.random.com-lost.support","A","A","",172.67.168.85,"2025-04-23","2025-04-24","1d"
"3cq9wwqfcr95u187.com-lost.support","A","D",2,104.21.78.184,"2024-10-09, 10:51","2024-10-09, 10:51","1s"
"3cq9wwqfcr95u187.com-lost.support","A","D",2,172.67.168.85,"2024-10-09, 10:51","2024-10-09, 10:51","1s"
"415bfa0b-27a6-4b00-b817-0c030622f5f0.random.com-lost.support","A","A","",172.67.168.85,"2025-04-16","2025-04-17","1d"
"415bfa0b-27a6-4b00-b817-0c030622f5f0.random.com-lost.support","A","A","",104.21.78.184,"2025-04-16","2025-04-17","1d"
"452e8470-48d7-4bba-8e1c-589928addd41.random.com-lost.support","A","A","",104.21.78.184,"2025-04-25","2025-04-26","1d"
"452e8470-48d7-4bba-8e1c-589928addd41.random.com-lost.support","A","A","",172.67.168.85,"2025-04-25","2025-04-26","1d"
"48fa9c6f-a537-4101-83dc-e5deefed74bd.random.com-lost.support","A","A","",104.21.78.184,"2025-01-03","2025-01-04","1d"
"48fa9c6f-a537-4101-83dc-e5deefed74bd.random.com-lost.support","A","A","",172.67.168.85,"2025-01-03","2025-01-04","1d"
"4a17ec06-0f3f-4f59-b221-aa4f44d14059.random.com-lost.support","A","A","",172.67.168.85,"2025-04-15","2025-04-16","1d"
"4a17ec06-0f3f-4f59-b221-aa4f44d14059.random.com-lost.support","A","A","",104.21.78.184,"2025-04-15","2025-04-16","1d"
"52f28359-8f06-4c5d-88ae-fc3905b84966.random.com-lost.support","A","A","",172.67.168.85,"2025-05-02","2025-05-03","1d"
"52f28359-8f06-4c5d-88ae-fc3905b84966.random.com-lost.support","A","A","",104.21.78.184,"2025-05-02","2025-05-03","1d"
"54e00ebe-19a0-4ddb-b2e1-b0f423ce298a.random.com-lost.support","A","A","",172.67.168.85,"2025-05-07","2025-05-08","1d"
"54e00ebe-19a0-4ddb-b2e1-b0f423ce298a.random.com-lost.support","A","A","",104.21.78.184,"2025-05-07","2025-05-08","1d"
"59fcff99-7d87-402a-831b-a86e38bf7dcc.random.com-lost.support","A","A","",172.67.168.85,"2025-02-07","2025-02-08","1d"
"59fcff99-7d87-402a-831b-a86e38bf7dcc.random.com-lost.support","A","A","",104.21.78.184,"2025-02-07","2025-02-08","1d"
"6538fcb5-68b5-4faf-b194-3afae21c62c6.random.com-lost.support","A","A","",104.21.78.184,"2024-11-15","2024-11-16","1d"
"6538fcb5-68b5-4faf-b194-3afae21c62c6.random.com-lost.support","A","A","",172.67.168.85,"2024-11-15","2024-11-16","1d"
"71540e53-1aec-4ed2-b8bd-66802104e76e.random.com-lost.support","A","A","",172.67.168.85,"2025-04-20","2025-04-21","1d"
"71540e53-1aec-4ed2-b8bd-66802104e76e.random.com-lost.support","A","A","",104.21.78.184,"2025-04-20","2025-04-21","1d"
"7437f56f-44fb-4363-83bf-fa38baebdc4c.random.com-lost.support","A","A","",104.21.78.184,"2024-11-25","2024-11-26","1d"
"7437f56f-44fb-4363-83bf-fa38baebdc4c.random.com-lost.support","A","A","",172.67.168.85,"2024-11-25","2024-11-26","1d"
"79c43121-c00c-4e62-a5a3-3fe3a59ddaf0.random.com-lost.support","A","A","",172.67.168.85,"2025-02-15","2025-02-16","1d"
"79c43121-c00c-4e62-a5a3-3fe3a59ddaf0.random.com-lost.support","A","A","",104.21.78.184,"2025-02-15","2025-02-16","1d"
"866dcae7-a392-4525-87c2-752ed84a67b9.random.com-lost.support","A","A","",172.67.168.85,"2025-01-15","2025-01-16","1d"
"866dcae7-a392-4525-87c2-752ed84a67b9.random.com-lost.support","A","A","",104.21.78.184,"2025-01-15","2025-01-16","1d"
"87b49922-c3dc-4340-9479-fb3e9c3fa5b8.random.com-lost.support","A","A","",172.67.168.85,"2024-11-01","2024-11-02","1d"
"87b49922-c3dc-4340-9479-fb3e9c3fa5b8.random.com-lost.support","A","A","",104.21.78.184,"2024-11-01","2024-11-02","1d"
"8805765a-4a6b-4c7b-a0e7-c651bbc2e1ac.random.com-lost.support","A","A","",104.21.78.184,"2025-01-19","2025-01-20","1d"
"8805765a-4a6b-4c7b-a0e7-c651bbc2e1ac.random.com-lost.support","A","A","",172.67.168.85,"2025-01-19","2025-01-20","1d"
"8b63f917-286e-466d-9781-048d72a05a36.random.com-lost.support","A","A","",104.21.78.184,"2025-02-12","2025-02-13","1d"
"8b63f917-286e-466d-9781-048d72a05a36.random.com-lost.support","A","A","",172.67.168.85,"2025-02-12","2025-02-13","1d"
"9277d0b2-f396-470e-8c75-a2d4460466be.random.com-lost.support","A","A","",104.21.78.184,"2024-12-27","2024-12-28","1d"
"9277d0b2-f396-470e-8c75-a2d4460466be.random.com-lost.support","A","A","",172.67.168.85,"2024-12-27","2024-12-28","1d"
"960ffd2e-0359-4e4f-8a1a-49bee0d7b1a8.random.com-lost.support","A","A","",104.21.78.184,"2025-04-06","2025-04-07","1d"
"960ffd2e-0359-4e4f-8a1a-49bee0d7b1a8.random.com-lost.support","A","A","",172.67.168.85,"2025-04-06","2025-04-07","1d"
"976c3be7-0087-46c5-adb1-2e2dd356d72d.random.com-lost.support","A","A","",172.67.168.85,"2025-01-27","2025-01-28","1d"
"976c3be7-0087-46c5-adb1-2e2dd356d72d.random.com-lost.support","A","A","",104.21.78.184,"2025-01-27","2025-01-28","1d"
"999e774c-dc7b-4173-a57a-300c6a2d911e.random.com-lost.support","A","A","",104.21.78.184,"2025-04-28","2025-04-29","1d"
"999e774c-dc7b-4173-a57a-300c6a2d911e.random.com-lost.support","A","A","",172.67.168.85,"2025-04-28","2025-04-29","1d"
"9e982773-086f-4ccb-98ca-0a19f1a6638d.random.com-lost.support","A","A","",172.67.168.85,"2025-03-24","2025-03-25","1d"
"9e982773-086f-4ccb-98ca-0a19f1a6638d.random.com-lost.support","A","A","",104.21.78.184,"2025-03-24","2025-03-25","1d"
"9f3107b7-70f9-45b9-8050-167831d647c6.random.com-lost.support","A","A","",104.21.78.184,"2025-03-05","2025-03-06","1d"
"9f3107b7-70f9-45b9-8050-167831d647c6.random.com-lost.support","A","A","",172.67.168.85,"2025-03-05","2025-03-06","1d"
"a0613220-1fe5-4960-b5e1-18c713808c6a.random.com-lost.support","A","A","",104.21.78.184,"2024-11-05","2024-11-06","1d"
"a0613220-1fe5-4960-b5e1-18c713808c6a.random.com-lost.support","A","A","",172.67.168.85,"2024-11-05","2024-11-06","1d"
"a534028c-bdc6-42df-b444-49a65fdbb691.random.com-lost.support","A","A","",104.21.78.184,"2025-01-09","2025-01-10","1d"
"a534028c-bdc6-42df-b444-49a65fdbb691.random.com-lost.support","A","A","",172.67.168.85,"2025-01-09","2025-01-10","1d"
"ab5816ab-be29-4af4-9aff-84441762b73d.random.com-lost.support","A","A","",104.21.78.184,"2025-02-22","2025-02-23","1d"
"ab5816ab-be29-4af4-9aff-84441762b73d.random.com-lost.support","A","A","",172.67.168.85,"2025-02-22","2025-02-23","1d"
"ab826dd2-e224-413d-8783-81a2280c83b1.random.com-lost.support","A","A","",104.21.78.184,"2024-11-27","2024-11-28","1d"
"ab826dd2-e224-413d-8783-81a2280c83b1.random.com-lost.support","A","A","",172.67.168.85,"2024-11-27","2024-11-28","1d"
"accounts.com-lost.support","A","D",2,104.21.78.184,"2025-06-08, 19:47","2025-06-08, 19:47","1s"
"accounts.com-lost.support","A","D",2,172.67.168.85,"2025-06-08, 19:47","2025-06-08, 19:47","1s"
"admin.com-lost.support","A","D",2,104.21.78.184,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"admin.com-lost.support","A","D",2,172.67.168.85,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"app.com-lost.support","A","D",1,104.21.78.184,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"app.com-lost.support","A","D",1,172.67.168.85,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"apple.com-lost.support","A","B",13,104.21.78.184,"2024-12-02, 11:56","2025-04-30, 12:55","148d 23h 58m"
"apple.com-lost.support","A","B",13,172.67.168.85,"2024-12-02, 11:56","2025-04-30, 12:55","148d 23h 58m"
"apple.com-lost.support","A","A","",172.67.168.85,"2025-04-10","2025-05-03","22d"
"apple.com-lost.support","A","A","",13.248.143.211,"2025-11-02","2025-11-10","7d"
"apple.com-lost.support","A","A","",76.223.15.82,"2025-11-02","2025-11-10","7d"
"apple.com-lost.support","A","A","",104.21.78.184,"2025-04-10","2025-05-03","22d"
"apple.com-lost.support","A","D",4,13.248.143.211,"2025-11-02, 00:33","2025-11-03, 21:16","1d 21h 42m"
"apple.com-lost.support","A","D",4,76.223.15.82,"2025-11-02, 00:33","2025-11-03, 21:16","1d 21h 42m"
"apple.com-lost.support","A","D",145,104.21.78.184,"2024-10-07, 17:42","2025-09-28, 15:12","355d 21h 30m"
"apple.com-lost.support","A","D",145,172.67.168.85,"2024-10-07, 17:42","2025-09-28, 15:12","355d 21h 30m"
"apple.com-lost.support","A","C",1,13.248.143.211,"2025-11-02, 04:04","2025-11-02, 04:04","1s"
"apple.com-lost.support","A","C",6,104.21.78.184,"2024-11-07, 13:56","2025-01-19, 11:12","72d 21h 15m"
"apple.com-lost.support","A","C",4,172.67.168.85,"2025-04-29, 06:03","2025-06-24, 09:12","56d 3h 9m"
"apps.com-lost.support","A","D",4,104.21.78.184,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"apps.com-lost.support","A","D",4,172.67.168.85,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"assets.com-lost.support","A","D",4,104.21.78.184,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"assets.com-lost.support","A","D",4,172.67.168.85,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"b27aabff-4ecf-4d05-8fec-dac85a276d5b.random.com-lost.support","A","A","",104.21.78.184,"2024-11-10","2024-11-11","1d"
"b27aabff-4ecf-4d05-8fec-dac85a276d5b.random.com-lost.support","A","A","",172.67.168.85,"2024-11-10","2024-11-11","1d"
"b9730ed7-bce8-46a4-ac83-f0c18a9eff5a.random.com-lost.support","A","A","",104.21.78.184,"2025-03-10","2025-03-11","1d"
"b9730ed7-bce8-46a4-ac83-f0c18a9eff5a.random.com-lost.support","A","A","",172.67.168.85,"2025-03-10","2025-03-11","1d"
"bac66648-089a-40f1-a241-0642e36d8f6b.random.com-lost.support","A","A","",104.21.78.184,"2025-03-20","2025-03-21","1d"
"bac66648-089a-40f1-a241-0642e36d8f6b.random.com-lost.support","A","A","",172.67.168.85,"2025-03-20","2025-03-21","1d"
"bf28056c-cb9f-4a8f-8d1a-47f6b0f31c58.random.com-lost.support","A","A","",172.67.168.85,"2025-02-27","2025-02-28","1d"
"bf28056c-cb9f-4a8f-8d1a-47f6b0f31c58.random.com-lost.support","A","A","",104.21.78.184,"2025-02-27","2025-02-28","1d"
"c24a85c2-a329-4784-a787-840229949a72.random.com-lost.support","A","A","",172.67.168.85,"2025-01-26","2025-01-27","1d"
"c24a85c2-a329-4784-a787-840229949a72.random.com-lost.support","A","A","",104.21.78.184,"2025-01-26","2025-01-27","1d"
"c9a9e374-4293-4f41-8ebd-d358bef583b9.random.com-lost.support","A","A","",172.67.168.85,"2025-05-24","2025-05-25","1d"
"c9a9e374-4293-4f41-8ebd-d358bef583b9.random.com-lost.support","A","A","",104.21.78.184,"2025-05-24","2025-05-25","1d"
"c9cdd3fb-ced5-4b6c-a818-9ad6a0d52e90.random.com-lost.support","A","A","",172.67.168.85,"2024-10-11","2024-10-12","1d"
"c9cdd3fb-ced5-4b6c-a818-9ad6a0d52e90.random.com-lost.support","A","A","",104.21.78.184,"2024-10-11","2024-10-12","1d"
"ca3f1c19-e5a6-40de-ac90-7e7878cade3f.random.com-lost.support","A","A","",104.21.78.184,"2024-11-06","2024-11-07","1d"
"ca3f1c19-e5a6-40de-ac90-7e7878cade3f.random.com-lost.support","A","A","",172.67.168.85,"2024-11-06","2024-11-07","1d"
"cb5f56a0-c54b-48a8-a52d-94f7f38babb6.random.com-lost.support","A","A","",172.67.168.85,"2025-05-25","2025-05-26","1d"
"cb5f56a0-c54b-48a8-a52d-94f7f38babb6.random.com-lost.support","A","A","",104.21.78.184,"2025-05-25","2025-05-26","1d"
"cbb9e2bd-d168-431e-a194-416be2492d90.random.com-lost.support","A","A","",104.21.78.184,"2025-05-13","2025-05-14","1d"
"cbb9e2bd-d168-431e-a194-416be2492d90.random.com-lost.support","A","A","",172.67.168.85,"2025-05-13","2025-05-14","1d"
"cdn.com-lost.support","A","D",1,104.21.78.184,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"cdn.com-lost.support","A","D",1,172.67.168.85,"2025-10-23, 20:30","2025-10-23, 20:30","1s"
"cm2lbf1fqkhuj9xh.com-lost.support","A","D",2,104.21.78.184,"2024-10-09, 10:51","2024-10-09, 10:51","1s"
"cm2lbf1fqkhuj9xh.com-lost.support","A","D",2,172.67.168.85,"2024-10-09, 10:51","2024-10-09, 10:51","1s"
"cms.com-lost.support","A","D",1,104.21.78.184,"2025-06-03, 15:39","2025-06-03, 15:39","1s"
"cms.com-lost.support","A","D",1,172.67.168.85,"2025-06-03, 15:39","2025-06-03, 15:39","1s"
"com-lost.support","A","B",153,104.21.78.184,"2024-10-01, 12:33","2025-10-13, 08:20","1y 11d 19h"
"com-lost.support","A","B",153,172.67.168.85,"2024-10-01, 12:33","2025-10-13, 08:20","1y 11d 19h"
"com-lost.support","A","B",9,190.14.38.8,"2018-04-28, 18:05","2018-07-16, 10:11","78d 16h 6m"
"com-lost.support","A","B",3,208.91.197.91,"2018-04-21, 05:20","2018-04-26, 22:43","5d 17h 23m"
"com-lost.support","A","A","",172.64.80.1,"2024-12-11","2025-01-02","21d"
"com-lost.support","A","A","",146.112.61.108,"2019-08-17","2025-12-08","6y 114d"
"com-lost.support","A","A","",172.67.168.85,"2024-09-30","2025-10-23","1y 22d"
"com-lost.support","A","A","",104.21.78.184,"2024-09-30","2025-10-23","1y 22d"
"com-lost.support","A","A","",76.223.15.82,"2025-11-01","2025-11-14","12d"
"com-lost.support","A","A","",208.91.197.91,"2018-04-20","2018-04-28","7d"
"com-lost.support","A","A","",13.248.143.211,"2025-11-01","2025-11-14","12d"
"com-lost.support","A","A","",190.14.38.8,"2018-04-28","2018-07-24","86d"
"com-lost.support","A","D",4,13.248.143.211,"2025-11-01, 13:55","2025-11-12, 04:42","10d 15h 47m"
"com-lost.support","A","D",4,76.223.15.82,"2025-11-01, 13:55","2025-11-12, 04:42","10d 15h 47m"
"com-lost.support","A","D",241,104.21.78.184,"2024-10-01, 21:47","2025-10-29, 18:08","1y 27d 20h"
